date,tournament,tournament_url,position,player,deck,decklist_url
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,6th,SiL3nTGoaT,Red Stompy,https://www.mtggoldfish.com/deck/7654983
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,7th,DarthSyhr,Dimir Tempo,https://www.mtggoldfish.com/deck/7655876
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,7th,azmyk1231,Grixis Tempo,https://www.mtggoldfish.com/deck/7654964
2026-02-28,Legacy Challenge 32 2026-02-28 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28-1,8th,Scooby_Snacks,Colorless Cloudpost,https://www.mtggoldfish.com/deck/7655894
2026-02-28,Legacy Challenge 32 2026-02-28,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-28,8th,jankyb,Jeskai Stoneblade,https://www.mtggoldfish.com/deck/7654957
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,1st,minyafriend,Dimir Tempo,https://www.mtggoldfish.com/deck/7644478
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,1st,choutin,Oops! All Spells,https://www.mtggoldfish.com/deck/7642791
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,2nd,wonderPreaux,Doomsday,https://www.mtggoldfish.com/deck/7644482
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,2nd,wumbowizard,Doomsday,https://www.mtggoldfish.com/deck/7642775
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,3rd,monkeyscantcry,Doomsday,https://www.mtggoldfish.com/deck/7644479
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,3rd,kentaro_hokori,Izzet Delver,https://www.mtggoldfish.com/deck/7642769
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,4th,einstein9998,Sultai Aluren,https://www.mtggoldfish.com/deck/7644489
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,4th,Sergio702,Dimir Tempo,https://www.mtggoldfish.com/deck/7642778
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,5th,Carroz,Esper Vial,https://www.mtggoldfish.com/deck/7644486
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,5th,Eureka22422,UB,https://www.mtggoldfish.com/deck/7642774
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,6th,Poliser,Lands,https://www.mtggoldfish.com/deck/7644494
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,6th,ayukawa,Eldrazi,https://www.mtggoldfish.com/deck/7642783
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,7th,Aced5,Dimir Tempo,https://www.mtggoldfish.com/deck/7644477
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,7th,nekoyama2,Dimir Control,https://www.mtggoldfish.com/deck/7642795
2026-02-22,Legacy Challenge 32 2026-02-22 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22-1,8th,demmers,Dimir Tempo,https://www.mtggoldfish.com/deck/7644507
2026-02-22,Legacy Challenge 32 2026-02-22,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-22,8th,TheGrimLavamancer,Oops! All Spells,https://www.mtggoldfish.com/deck/7642788
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,1st,Venom1,Dimir Tempo,https://www.mtggoldfish.com/deck/7641680
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,1st,silenttrigger,Sneak and Show,https://www.mtggoldfish.com/deck/7639712
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,2nd,choutin,Oops! All Spells,https://www.mtggoldfish.com/deck/7641702
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,2nd,Chris_McNasty,WU,https://www.mtggoldfish.com/deck/7639713
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,3rd,Sol-e22558,Selesnya Depths,https://www.mtggoldfish.com/deck/7641688
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,3rd,Otazz,Sultai Aluren,https://www.mtggoldfish.com/deck/7639721
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,4th,Capitano_CL,UBR,https://www.mtggoldfish.com/deck/7641675
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,4th,JoaoCelestini,Izzet Delver,https://www.mtggoldfish.com/deck/7639709
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,5th,TheGrimLavamancer,Oops! All Spells,https://www.mtggoldfish.com/deck/7641692
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,5th,swarmofbees,Izzet Delver,https://www.mtggoldfish.com/deck/7639706
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,6th,Oceansoul92,Dimir Tempo,https://www.mtggoldfish.com/deck/7641683
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,6th,_Batutinha_,Red Stompy,https://www.mtggoldfish.com/deck/7639707
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,7th,eyeofugin,Affinity Stompy,https://www.mtggoldfish.com/deck/7641678
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,7th,Magic_Dads71522,UBR,https://www.mtggoldfish.com/deck/7639731
2026-02-21,Legacy Challenge 32 2026-02-21 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21-1,8th,RIDDLE0423,Omni-Tell,https://www.mtggoldfish.com/deck/7641693
2026-02-21,Legacy Challenge 32 2026-02-21,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-21,8th,DominiqueTutor,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7639715
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,1st,kasa,Affinity Stompy,https://www.mtggoldfish.com/deck/7636642
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,2nd,mechrataal,Dimir Tempo,https://www.mtggoldfish.com/deck/7636643
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,3rd,choutin,Oops! All Spells,https://www.mtggoldfish.com/deck/7636645
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,4th,cicciogire,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7636640
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,5th,Harry1232,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7636641
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,6th,The_Lion91,Red Stompy,https://www.mtggoldfish.com/deck/7636647
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,7th,TeaW1thRum,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7636646
2026-02-18,Legacy Challenge 32 2026-02-18,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-18,8th,kyataoka,Beanstalk Control (Non-Yorion),https://www.mtggoldfish.com/deck/7636644
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,1st,HyuugaHeir,Sneak and Show,https://www.mtggoldfish.com/deck/7631409
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,1st,yoshiwata,Death and Taxes (Yorion) - Orzhov,https://www.mtggoldfish.com/deck/7630587
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,2nd,JakeTMS,Dimir Tempo,https://www.mtggoldfish.com/deck/7631404
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,2nd,xfile,Dimir Tempo,https://www.mtggoldfish.com/deck/7630597
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,3rd,blademagician,Dimir Tempo,https://www.mtggoldfish.com/deck/7631382
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,3rd,SauTay,Grixis Tempo,https://www.mtggoldfish.com/deck/7630601
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,4th,4FunNoWin,Eldrazi,https://www.mtggoldfish.com/deck/7631411
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,4th,Aigis,Cephalid Breakfast,https://www.mtggoldfish.com/deck/7630590
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,5th,Rinzler_92,Eldrazi,https://www.mtggoldfish.com/deck/7631397
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,5th,cynedis,Necrodominance Combo,https://www.mtggoldfish.com/deck/7630603
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,6th,Rockenoma222,Izzet Delver,https://www.mtggoldfish.com/deck/7631407
2026-02-15,Legacy Challenge 32 2026-02-15,https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15,6th,Unlif3,Ocelot Pride Midrange,https://www.mtggoldfish.com/deck/7630596
2026-02-15,Legacy Challenge 32 2026-02-15 (1),https://www.mtggoldfish.com/tournament/legacy-challenge-32-2026-02-15-1,7th,Univerce,Lands,https://www.mtggoldfish.com/deck/7631403
